Record_ID,Date,Model,Region,Units_Sold,Price,Revenue,Cost,Profit
100,2023-02-23,Mercedes GLS,East,1,92200,92200.0,62802.78,29397.22
101,2023-02-23,Mercedes A-Class,West,4,36900,147600.0,109650.73,37949.27
102,2023-02-23,Mercedes A-Class,West,2,41300,82600.0,61964.8,20635.2
103,2023-02-24,Mercedes E-Class,West,6,69000,414000.0,290057.18,123942.82
104,2023-02-24,Mercedes A-Class,North,3,41800,125400.0,92207.29,33192.71
105,2023-02-25,Mercedes GLC,East,2,50700,101400.0,72477.2,28922.8
106,2023-02-26,Mercedes GLC,South,8,59000,472000.0,332069.54,139930.46
107,2023-02-26,Mercedes GLE,East,5,73400,367000.0,260435.09,106564.91
108,2023-02-27,Mercedes GLE,West,2,73300,146600.0,101987.29,44612.71
109,2023-02-27,Mercedes GLC,East,4,58200,232800.0,163072.37,69727.63
110,2023-02-28,Mercedes A-Class,North,6,41100,246600.0,177889.57,68710.43
111,2023-03-01,Mercedes GLC,East,8,48600,388800.0,284541.62,104258.38
112,2023-03-01,Mercedes C-Class,South,7,54200,379400.0,283370.52,96029.48
113,2023-03-01,Mercedes C-Class,North,6,47800,286800.0,212846.19,73953.81
114,2023-03-01,Mercedes A-Class,West,9,35300,317700.0,240549.32,77150.68
115,2023-03-02,Mercedes A-Class,East,4,41200,164800.0,123788.12,41011.88
116,2023-03-06,Mercedes GLE,West,3,63500,190500.0,131872.6,58627.4
117,2023-03-07,Mercedes E-Class,East,5,60400,302000.0,211021.15,90978.85
118,2023-03-07,Mercedes A-Class,North,6,38600,231600.0,171623.21,59976.79
119,2023-03-07,Mercedes GLS,West,2,96100,192200.0,132438.79,59761.21
120,2023-03-07,Mercedes C-Class,North,6,51600,309600.0,224724.9,84875.1
121,2023-03-08,Mercedes GLC,West,2,50200,100400.0,71557.96,28842.04
122,2023-03-08,Mercedes GLE,North,2,67700,135400.0,97084.65,38315.35
123,2023-03-08,Mercedes A-Class,West,3,34100,102300.0,74283.61,28016.39
124,2023-03-08,Mercedes S-Class,South,4,131400,525600.0,360545.03,165054.97
125,2023-03-09,Mercedes S-Class,West,2,119500,239000.0,159720.43,79279.57
126,2023-03-10,Mercedes GLE,South,6,65200,391200.0,281434.33,109765.67
127,2023-03-11,Mercedes GLC,North,8,58000,464000.0,325244.17,138755.83
128,2023-03-11,Mercedes G-Class,North,2,169200,338400.0,216734.54,121665.46
129,2023-03-14,Mercedes GLC,South,9,55700,501300.0,360564.95,140735.05
130,2023-03-14,Mercedes GLE,West,6,67500,405000.0,280596.36,124403.64
131,2023-03-14,Mercedes E-Class,East,5,70100,350500.0,241966.53,108533.47
132,2023-03-15,Mercedes GLC,North,7,53600,375200.0,275143.09,100056.91
133,2023-03-16,Mercedes GLC,West,4,50500,202000.0,148630.67,53369.33
134,2023-03-17,Mercedes GLE,West,4,66700,266800.0,184559.5,82240.5
135,2023-03-17,Mercedes A-Class,North,2,41700,83400.0,60774.72,22625.28
136,2023-03-20,Mercedes E-Class,East,7,67800,474600.0,336047.36,138552.64
137,2023-03-21,Mercedes GLE,North,2,75700,151400.0,105813.06,45586.94
138,2023-03-21,Mercedes E-Class,South,6,74900,449400.0,312323.61,137076.39
139,2023-03-22,Mercedes A-Class,West,6,40800,244800.0,179783.22,65016.78
140,2023-03-22,Mercedes GLC,South,5,56800,284000.0,203983.64,80016.36
141,2023-03-23,Mercedes A-Class,South,3,41200,123600.0,90030.62,33569.38
142,2023-03-23,Mercedes GLS,West,4,87300,349200.0,247465.81,101734.19
143,2023-03-24,Mercedes E-Class,West,6,71300,427800.0,295530.74,132269.26
144,2023-03-24,Mercedes A-Class,South,1,35100,35100.0,26045.55,9054.45
145,2023-03-24,Mercedes GLC,South,9,54200,487800.0,354096.18,133703.82
146,2023-03-24,Mercedes A-Class,East,6,38200,229200.0,168457.05,60742.95
147,2023-03-25,Mercedes C-Class,North,9,47700,429300.0,305255.64,124044.36
148,2023-03-26,Mercedes E-Class,West,5,72400,362000.0,259068.25,102931.75
149,2023-03-26,Mercedes GLE,West,3,63600,190800.0,138095.23,52704.77
150,2023-03-26,Mercedes GLE,North,4,71300,285200.0,199757.41,85442.59
151,2023-03-26,Mercedes GLC,North,5,53600,268000.0,192612.15,75387.85
152,2023-03-26,Mercedes GLC,North,1,56000,56000.0,40921.55,15078.45
153,2023-03-27,Mercedes GLC,West,8,57100,456800.0,327824.65,128975.35
154,2023-03-27,Mercedes GLS,North,1,80100,80100.0,57502.12,22597.88
155,2023-03-27,Mercedes GLE,East,4,65000,260000.0,180327.55,79672.45
156,2023-03-28,Mercedes E-Class,North,4,74500,298000.0,215866.24,82133.76
157,2023-03-29,Mercedes GLC,North,4,55400,221600.0,157290.06,64309.94
158,2023-03-30,Mercedes GLC,North,9,48600,437400.0,312551.92,124848.08
159,2023-03-31,Mercedes E-Class,North,6,69800,418800.0,301226.85,117573.15
160,2023-04-01,Mercedes GLC,North,8,48700,389600.0,277577.02,112022.98
161,2023-04-02,Mercedes E-Class,North,4,61500,246000.0,177971.0,68029.0
162,2023-04-02,Mercedes GLS,East,2,92000,184000.0,128386.46,55613.54
163,2023-04-02,Mercedes E-Class,North,6,64400,386400.0,268257.92,118142.08
164,2023-04-04,Mercedes E-Class,West,3,70500,211500.0,146549.11,64950.89
165,2023-04-04,Mercedes E-Class,East,3,60100,180300.0,131456.9,48843.1
166,2023-04-04,Mercedes C-Class,East,6,55700,334200.0,247118.35,87081.65
167,2023-04-04,Mercedes C-Class,South,5,51700,258500.0,192941.78,65558.22
168,2023-04-05,Mercedes C-Class,South,8,55500,444000.0,316464.13,127535.87
169,2023-04-05,Mercedes A-Class,South,4,34800,139200.0,104490.09,34709.91
170,2023-04-06,Mercedes GLS,West,3,90800,272400.0,187081.49,85318.51
171,2023-04-07,Mercedes GLS,South,1,98500,98500.0,70824.74,27675.26
172,2023-04-08,Mercedes C-Class,South,4,47600,190400.0,140050.26,50349.74
173,2023-04-08,Mercedes C-Class,East,6,49400,296400.0,220092.63,76307.37
174,2023-04-08,Mercedes C-Class,South,6,51100,306600.0,228935.79,77664.21
175,2023-04-08,Mercedes GLC,South,9,50200,451800.0,322072.67,129727.33
176,2023-04-09,Mercedes GLC,West,6,58000,348000.0,244439.19,103560.81
177,2023-04-10,Mercedes E-Class,East,6,63700,382200.0,271969.85,110230.15
178,2023-04-11,Mercedes GLC,East,8,50300,402400.0,288755.06,113644.94
179,2023-04-12,Mercedes E-Class,North,8,63500,508000.0,363821.49,144178.51
180,2023-04-14,Mercedes GLC,North,4,51500,206000.0,146245.75,59754.25
181,2023-04-14,Mercedes S-Class,East,1,118300,118300.0,78579.25,39720.75
182,2023-04-16,Mercedes E-Class,West,6,64000,384000.0,275307.6,108692.4
183,2023-04-16,Mercedes S-Class,East,1,117800,117800.0,79470.57,38329.43
184,2023-04-17,Mercedes GLC,West,6,60000,360000.0,257039.43,102960.57
185,2023-04-17,Mercedes E-Class,East,4,62400,249600.0,181854.27,67745.73
186,2023-04-17,Mercedes C-Class,South,6,54500,327000.0,240448.45,86551.55
187,2023-04-17,Mercedes GLC,East,3,58200,174600.0,124475.83,50124.17
188,2023-04-17,Mercedes A-Class,East,4,39400,157600.0,115628.86,41971.14
189,2023-04-18,Mercedes C-Class,North,4,54100,216400.0,159566.14,56833.86
190,2023-04-19,Mercedes E-Class,East,2,73600,147200.0,104718.28,42481.72
191,2023-04-19,Mercedes E-Class,East,6,74400,446400.0,317332.44,129067.56
192,2023-04-21,Mercedes C-Class,East,5,50800,254000.0,184639.47,69360.53
193,2023-04-22,Mercedes E-Class,North,7,60200,421400.0,298676.33,122723.67
194,2023-04-22,Mercedes GLC,South,5,48800,244000.0,175940.42,68059.58
195,2023-04-22,Mercedes A-Class,East,5,39500,197500.0,146566.55,50933.45
196,2023-04-24,Mercedes E-Class,South,2,71200,142400.0,98783.17,43616.83
197,2023-04-25,Mercedes C-Class,North,5,51000,255000.0,183778.06,71221.94
198,2023-04-26,Mercedes E-Class,East,6,70600,423600.0,293659.1,129940.9
199,2023-04-27,Mercedes S-Class,East,3,139000,417000.0,285145.19,131854.81
200,2023-04-27,Mercedes GLC,South,5,54600,273000.0,200838.55,72161.45
201,2023-04-27,Mercedes A-Class,West,7,34900,244300.0,176532.46,67767.54
202,2023-04-28,Mercedes E-Class,West,9,60800,547200.0,388003.95,159196.05
203,2023-04-28,Mercedes GLC,East,2,48900,97800.0,70953.95,26846.05
204,2023-04-28,Mercedes E-Class,South,6,74200,445200.0,315005.21,130194.79
205,2023-04-29,Mercedes E-Class,East,5,74700,373500.0,272356.9,101143.1
206,2023-05-01,Mercedes GLC,West,7,54300,380100.0,278506.81,101593.19
207,2023-05-01,Mercedes GLE,North,5,77700,388500.0,282225.46,106274.54
208,2023-05-01,Mercedes GLS,West,5,95300,476500.0,328823.57,147676.43
209,2023-05-01,Mercedes GLE,South,5,69600,348000.0,243228.8,104771.2
210,2023-05-02,Mercedes C-Class,South,8,55000,440000.0,321818.68,118181.32
211,2023-05-02,Mercedes GLE,West,3,71100,213300.0,151718.42,61581.58
212,2023-05-03,Mercedes GLE,West,4,71400,285600.0,203479.56,82120.44
213,2023-05-03,Mercedes C-Class,South,5,55700,278500.0,199321.04,79178.96
214,2023-05-04,Mercedes E-Class,South,7,69100,483700.0,348072.25,135627.75
215,2023-05-04,Mercedes E-Class,North,1,74000,74000.0,52487.27,21512.73
216,2023-05-05,Mercedes GLC,North,6,51800,310800.0,217919.36,92880.64
217,2023-05-07,Mercedes G-Class,West,1,161400,161400.0,104035.04,57364.96
218,2023-05-08,Mercedes GLC,East,7,53200,372400.0,264567.72,107832.28
219,2023-05-08,Mercedes S-Class,East,6,120900,725400.0,505003.86,220396.14
220,2023-05-08,Mercedes A-Class,South,6,36500,219000.0,165148.56,53851.44
221,2023-05-09,Mercedes C-Class,West,6,51400,308400.0,223476.42,84923.58
222,2023-05-10,Mercedes C-Class,South,7,46800,327600.0,236212.2,91387.8
223,2023-05-11,Mercedes E-Class,West,6,72300,433800.0,313189.29,120610.71
224,2023-05-11,Mercedes A-Class,East,5,41200,206000.0,151673.74,54326.26
225,2023-05-11,Mercedes A-Class,East,3,36100,108300.0,78482.59,29817.41
226,2023-05-11,Mercedes GLE,East,3,70300,210900.0,150453.71,60446.29
227,2023-05-11,Mercedes GLE,North,3,76800,230400.0,160265.42,70134.58
228,2023-05-12,Mercedes GLC,East,5,53400,267000.0,196399.32,70600.68
229,2023-05-13,Mercedes GLS,West,1,92900,92900.0,65906.99,26993.01
230,2023-05-13,Mercedes C-Class,North,8,54800,438400.0,314894.08,123505.92
231,2023-05-13,Mercedes GLC,East,6,52100,312600.0,222300.06,90299.94
232,2023-05-14,Mercedes S-Class,South,4,125000,500000.0,331072.18,168927.82
233,2023-05-14,Mercedes GLE,East,4,71400,285600.0,207729.03,77870.97
234,2023-05-14,Mercedes GLS,West,4,82400,329600.0,226628.23,102971.77
235,2023-05-15,Mercedes GLC,East,7,50300,352100.0,251972.37,100127.63
236,2023-05-15,Mercedes S-Class,South,1,129200,129200.0,89029.91,40170.09
237,2023-05-16,Mercedes C-Class,East,2,48400,96800.0,69652.0,27148.0
238,2023-05-16,Mercedes C-Class,North,4,49200,196800.0,140538.19,56261.81
239,2023-05-17,Mercedes A-Class,North,5,38800,194000.0,142487.25,51512.75
240,2023-05-17,Mercedes GLE,East,2,62900,125800.0,88867.01,36932.99
241,2023-05-18,Mercedes S-Class,North,1,117500,117500.0,77707.81,39792.19
242,2023-05-18,Mercedes C-Class,East,8,51200,409600.0,303490.26,106109.74
243,2023-05-19,Mercedes GLE,North,3,76500,229500.0,166246.45,63253.55
244,2023-05-19,Mercedes C-Class,West,7,47700,333900.0,245287.22,88612.78
245,2023-05-21,Mercedes GLS,North,6,84700,508200.0,359488.47,148711.53
246,2023-05-21,Mercedes GLS,South,2,83600,167200.0,117827.37,49372.63
247,2023-05-21,Mercedes A-Class,South,6,37100,222600.0,168022.48,54577.52
248,2023-05-23,Mercedes GLC,North,5,59600,298000.0,211927.17,86072.83
249,2023-05-23,Mercedes A-Class,East,5,35100,175500.0,131597.7,43902.3
250,2023-05-23,Mercedes E-Class,North,5,73500,367500.0,258246.45,109253.55
251,2023-05-23,Mercedes GLC,East,6,49700,298200.0,213826.04,84373.96
252,2023-05-24,Mercedes GLC,South,11,54500,599500.0,439265.08,160234.92
253,2023-05-24,Mercedes C-Class,East,8,45100,360800.0,268681.45,92118.55
254,2023-05-25,Mercedes GLC,East,8,52600,420800.0,306186.71,114613.29
255,2023-05-25,Mercedes G-Class,West,2,167400,334800.0,227095.84,107704.16
256,2023-05-26,Mercedes GLC,North,3,50700,152100.0,107013.49,45086.51
257,2023-05-26,Mercedes GLS,South,3,89400,268200.0,189678.53,78521.47
258,2023-05-26,Mercedes GLC,East,4,54800,219200.0,154555.22,64644.78
259,2023-05-26,Mercedes E-Class,West,5,69200,346000.0,246072.04,99927.96
260,2023-05-29,Mercedes E-Class,South,3,60100,180300.0,125128.06,55171.94
261,2023-05-30,Mercedes GLE,West,6,62300,373800.0,258517.49,115282.51
262,2023-05-31,Mercedes E-Class,West,2,61200,122400.0,85211.07,37188.93
263,2023-06-01,Mercedes GLC,East,4,56500,226000.0,162117.73,63882.27
264,2023-06-02,Mercedes C-Class,North,6,47100,282600.0,204909.85,77690.15
265,2023-06-02,Mercedes G-Class,South,1,172100,172100.0,111499.3,60600.7
266,2023-06-03,Mercedes E-Class,North,6,60300,361800.0,250575.04,111224.96
267,2023-06-03,Mercedes C-Class,East,4,51300,205200.0,150996.59,54203.41
268,2023-06-04,Mercedes G-Class,North,1,169400,169400.0,112046.81,57353.19
269,2023-06-04,Mercedes GLS,West,6,80200,481200.0,343964.83,137235.17
270,2023-06-05,Mercedes A-Class,South,5,36700,183500.0,135031.8,48468.2
271,2023-06-05,Mercedes C-Class,South,7,52000,364000.0,264656.88,99343.12
272,2023-06-05,Mercedes GLC,North,9,52300,470700.0,339144.83,131555.17
273,2023-06-07,Mercedes A-Class,East,5,38000,190000.0,140681.94,49318.06
274,2023-06-07,Mercedes C-Class,West,5,46200,231000.0,166559.71,64440.29
275,2023-06-07,Mercedes GLC,North,5,55800,279000.0,200131.28,78868.72
276,2023-06-08,Mercedes GLC,West,4,57800,231200.0,167776.21,63423.79
277,2023-06-09,Mercedes S-Class,South,4,129300,517200.0,342441.68,174758.32
278,2023-06-09,Mercedes C-Class,East,7,53100,371700.0,274491.66,97208.34
279,2023-06-10,Mercedes GLE,East,3,70000,210000.0,153084.32,56915.68
280,2023-06-10,Mercedes GLE,North,3,72800,218400.0,157372.44,61027.56
281,2023-06-10,Mercedes GLE,East,5,74500,372500.0,270133.91,102366.09
282,2023-06-11,Mercedes C-Class,North,5,45900,229500.0,169927.33,59572.67
283,2023-06-11,Mercedes A-Class,South,6,36000,216000.0,155627.81,60372.19
284,2023-06-12,Mercedes GLC,West,6,49900,299400.0,213069.28,86330.72
285,2023-06-12,Mercedes GLE,West,3,75400,226200.0,157811.99,68388.01
286,2023-06-12,Mercedes E-Class,West,6,74600,447600.0,313283.69,134316.31
287,2023-06-13,Mercedes GLE,East,4,65400,261600.0,184658.68,76941.32
288,2023-06-14,Mercedes GLC,East,3,54200,162600.0,115048.11,47551.89
289,2023-06-14,Mercedes A-Class,East,6,38800,232800.0,174433.76,58366.24
290,2023-06-15,Mercedes GLC,East,5,58700,293500.0,213941.89,79558.11
291,2023-06-16,Mercedes GLS,North,3,95700,287100.0,197150.81,89949.19
292,2023-06-16,Mercedes C-Class,South,7,54600,382200.0,281771.46,100428.54
293,2023-06-17,Mercedes E-Class,North,2,66300,132600.0,96451.68,36148.32
294,2023-06-17,Mercedes GLC,South,5,52500,262500.0,184045.97,78454.03
295,2023-06-17,Mercedes GLS,West,1,90500,90500.0,64860.43,25639.57
296,2023-06-19,Mercedes GLC,South,5,54600,273000.0,193745.85,79254.15
297,2023-06-19,Mercedes GLC,North,4,49500,198000.0,143679.96,54320.04
298,2023-06-19,Mercedes GLC,South,8,59600,476800.0,352291.88,124508.12
299,2023-06-20,Mercedes A-Class,North,6,39800,238800.0,180913.43,57886.57
300,2023-06-21,Mercedes E-Class,South,6,61400,368400.0,256690.15,111709.85
301,2023-06-22,Mercedes C-Class,North,7,49600,347200.0,259632.79,87567.21
302,2023-06-23,Mercedes C-Class,West,7,54700,382900.0,272621.16,110278.84
303,2023-06-23,Mercedes GLE,South,2,72800,145600.0,102287.99,43312.01
304,2023-06-23,Mercedes A-Class,East,4,39900,159600.0,118449.76,41150.24
305,2023-06-23,Mercedes A-Class,West,4,41200,164800.0,122152.93,42647.07
306,2023-06-24,Mercedes GLC,South,5,51200,256000.0,185645.47,70354.53
307,2023-06-24,Mercedes S-Class,North,1,139400,139400.0,96410.3,42989.7
308,2023-06-24,Mercedes GLC,South,6,58600,351600.0,247088.87,104511.13
309,2023-06-25,Mercedes C-Class,South,9,46200,415800.0,310631.37,105168.63
310,2023-06-27,Mercedes GLE,West,3,76300,228900.0,159222.96,69677.04
311,2023-06-28,Mercedes GLS,East,1,99500,99500.0,70060.62,29439.38
312,2023-06-28,Mercedes GLE,West,3,65800,197400.0,136228.63,61171.37
313,2023-06-29,Mercedes GLS,South,3,85600,256800.0,183711.15,73088.85
314,2023-06-29,Mercedes GLE,West,5,64000,320000.0,221003.33,98996.67
315,2023-06-30,Mercedes GLE,East,6,72000,432000.0,311603.03,120396.97
316,2023-07-01,Mercedes G-Class,North,4,168800,675200.0,450224.02,224975.98
317,2023-07-01,Mercedes G-Class,West,1,140200,140200.0,90708.8,49491.2
318,2023-07-01,Mercedes C-Class,North,7,55500,388500.0,275884.69,112615.31
319,2023-07-02,Mercedes C-Class,South,5,47100,235500.0,169196.3,66303.7
320,2023-07-02,Mercedes GLC,North,5,59500,297500.0,210274.46,87225.54
321,2023-07-02,Mercedes E-Class,East,4,61600,246400.0,175659.66,70740.34
322,2023-07-02,Mercedes A-Class,North,4,36700,146800.0,111227.47,35572.53
323,2023-07-04,Mercedes GLC,East,7,52800,369600.0,262209.63,107390.37
324,2023-07-04,Mercedes GLS,North,2,86300,172600.0,123594.05,49005.95
325,2023-07-05,Mercedes C-Class,North,7,49800,348600.0,259673.24,88926.76
326,2023-07-05,Mercedes A-Class,West,6,36900,221400.0,166857.5,54542.5
327,2023-07-05,Mercedes GLE,North,3,66900,200700.0,144631.03,56068.97
328,2023-07-06,Mercedes GLC,East,7,58400,408800.0,292379.53,116420.47
329,2023-07-08,Mercedes GLC,South,7,48700,340900.0,244713.89,96186.11
330,2023-07-08,Mercedes C-Class,South,4,48800,195200.0,144410.48,50789.52
331,2023-07-10,Mercedes GLC,West,4,51500,206000.0,149671.03,56328.97
332,2023-07-10,Mercedes A-Class,West,5,37200,186000.0,140447.24,45552.76
333,2023-07-10,Mercedes C-Class,North,6,48700,292200.0,218977.91,73222.09
334,2023-07-10,Mercedes GLS,North,3,88000,264000.0,185376.06,78623.94
335,2023-07-10,Mercedes GLC,West,6,59600,357600.0,257567.88,100032.12
336,2023-07-11,Mercedes GLE,North,3,77200,231600.0,161949.27,69650.73
337,2023-07-14,Mercedes GLC,North,4,48000,192000.0,138061.88,53938.12
338,2023-07-15,Mercedes C-Class,West,6,54800,328800.0,245301.54,83498.46
339,2023-07-15,Mercedes G-Class,North,1,157700,157700.0,104947.56,52752.44
340,2023-07-15,Mercedes GLC,South,6,55100,330600.0,235392.4,95207.6
341,2023-07-16,Mercedes GLE,West,2,68200,136400.0,96297.76,40102.24
342,2023-07-17,Mercedes GLE,North,3,74200,222600.0,157976.44,64623.56
343,2023-07-17,Mercedes A-Class,West,4,35600,142400.0,107141.81,35258.19
